name,age,net_worth_million_usd,industry,industries,country,self_made,gender
Julio Bozano,90.0,2159.97,Finance & Investments,Finance & Investments,Brazil,True,M
Lyu Yixiong,63.0,2157.36,Fashion & Retail,Fashion & Retail,China,True,M
Bruce Toll,83.0,2156.75,Real Estate,Real Estate,United States,True,M
Jaroslav Hascak & family,56.0,2156.15,Finance & Investments,Finance & Investments,Slovakia,True,M
Wilma Tisch,98.0,2155.36,Diversified,Diversified,United States,False,F
Li Jianquan & family,69.0,2155.32,Healthcare,Healthcare,Hong Kong,True,M
Kabir Mulchandani,53.0,2154.39,Real Estate,Real Estate,India,False,M
Gustavo Denegri & family,89.0,2154.29,Healthcare,Healthcare,Italy,True,M
Vladislav Filev & family,62.0,2153.12,Service,Service,Russia,True,M
Richard Saghian,44.0,2149.0,Fashion & Retail,Fashion & Retail,United States,True,M
Koh Wee Meng,62.0,2148.53,Real Estate,Real Estate,Singapore,True,M
Petter Stordalen & family,63.0,2147.65,Service,Service,Norway,True,M
Anurang Jain,64.0,2146.88,Manufacturing,Manufacturing,India,True,M
Karl-Johan Persson,51.0,2146.4,Fashion & Retail,Fashion & Retail,Sweden,False,M
Marek Dospiva,56.0,2145.63,Finance & Investments,Finance & Investments,Czech Republic,True,M
Ibrahim Al Muhaidib,39.0,2144.75,Real Estate,Real Estate,Saudi Arabia,False,M
Liang Guangwei,62.0,2142.92,Manufacturing,Manufacturing,China,True,M
Hisao Nagata,69.0,2142.2,Fashion & Retail,Fashion & Retail,Japan,False,M
Evan Spiegel,35.0,2140.26,Technology,Technology,United States,True,M
John Liew,58.0,2138.8,Finance & Investments,Finance & Investments,United States,True,M
Alex Birkenstock,57.0,2137.35,Fashion & Retail,Fashion & Retail,Germany,False,M
Mustafa Kucuk,62.0,2136.69,Fashion & Retail,Fashion & Retail,Turkey,True,M
Wong Man Li,61.0,2135.6,Manufacturing,Manufacturing,Hong Kong,True,M
Nicholas Pritzker,82.0,2131.42,Finance & Investments,Finance & Investments,United States,False,M
Li Jianli,53.0,2130.84,Manufacturing,Manufacturing,China,True,M
Gao Yunfeng,59.0,2126.77,Manufacturing,Manufacturing,China,True,M
Vasily Anisimov,74.0,2125.0,Metals & Mining,Metals & Mining,Croatia,True,M
Solina Chau,64.0,2120.01,Finance & Investments,Finance & Investments,Hong Kong,True,F
Tong Yongsheng & family,61.0,2118.29,Manufacturing,Manufacturing,China,True,M
Ilkka Herlin,67.0,2117.97,Manufacturing,Manufacturing,Finland,False,M
Tim Draper,67.0,2117.59,Finance & Investments,Finance & Investments,United States,False,M
Simon Nixon,58.0,2114.85,Technology,Technology,United Kingdom,True,M
Archie Hwang,73.0,2111.72,Technology,Technology,Singapore,True,M
Gideon Hamburger,81.0,2109.87,Finance & Investments,Finance & Investments,Israel,False,M
Nurit Manor,73.0,2109.87,Finance & Investments,Finance & Investments,Israel,False,F
Yair Hamburger,79.0,2109.87,Finance & Investments,Finance & Investments,Israel,False,M
Ni Zugen,69.0,2107.0,Manufacturing,Manufacturing,China,True,M
Ishay Davidi,64.0,2105.55,Finance & Investments,Finance & Investments,Israel,True,M
Athanasios Martinos & family,76.0,2104.6,Logistics,Logistics,Greece,True,M
Manuel Arango Arias,90.0,2104.0,Fashion & Retail,Fashion & Retail,Mexico,True,M
Pavel Baudis,65.0,2103.64,Technology,Technology,Czech Republic,True,M
Anthony Casalena,43.0,2102.0,Technology,Technology,United States,True,M
Ye Guofu,48.0,2101.18,Fashion & Retail,Fashion & Retail,China,True,M
Andy Konwinski,42.0,2100.0,Technology,Technology,United States,True,M
Aravind Srinivas,31.0,2100.0,Technology,Technology,India,True,M
Denis Yarats,38.0,2100.0,Technology,Technology,United States,True,M
Guillermo Rauch,35.0,2100.0,Technology,Technology,United States,True,M
Johnny Ho,,2100.0,Technology,Technology,United States,True,M
Manfredi Lefebvre d'Ovidio & family,72.0,2099.68,Service,Service,Italy,False,M
Michael Heine,76.0,2098.8,Finance & Investments,Finance & Investments,Australia,True,M
Solomon Lew,81.0,2098.34,Fashion & Retail,Fashion & Retail,Australia,True,M
Walter Wang,61.0,2098.06,Manufacturing,Manufacturing,United States,False,M
Manuel Lao Hernández & family,81.0,2097.72,Gambling & Casinos,Gambling & Casinos,Spain,True,M
Mohammed Dewji,50.0,2093.97,Diversified,Diversified,Tanzania,False,M
John Bloor,82.0,2091.18,Diversified,Diversified,United Kingdom,True,M
