name,age,net_worth_million_usd,industries,country,self_made,gender
Enrique Razon Jr.,66,16084.31,Logistics,Philippines,False,M
Peter Mallouk,56,16082.0,Finance & Investments,United States,True,M
Charlene de Carvalho-Heineken & family,71,16075.34,Food & Beverage,Netherlands,False,F
George Kaiser,83,16033.2,Energy,United States,False,M
Harold Hamm & family,80,16000.0,Energy,United States,True,M
Zhang Zhidong,54,15743.12,Technology,China,True,M
Zou Zhinong & family,58,15540.41,Manufacturing,China,True,M
Ray Dalio,76,15383.97,Finance & Investments,United States,True,M
Friedhelm Loh,79,15293.29,Manufacturing,Germany,False,M
Johann Rupert & family,75,15292.45,Fashion & Retail,South Africa,False,M
Hussain Sajwani,73,15284.97,Real Estate,United Arab Emirates,True,M
Jaime Gilinski Bacal,68,15112.37,Finance & Investments,Colombia,False,M
Xavier Niel & family,58,15088.96,Telecom,France,True,M
Barry Lam,77,14995.51,Technology,Taiwan,True,M
Donald Newhouse,96,14932.09,Media & Entertainment,United States,False,M
James Dyson,78,14925.64,Manufacturing,United Kingdom,True,M
Shahid Khan,75,14882.93,Automotive,United States,True,M
Liu Debing,50,14845.92,Technology,China,True,M
Zhou Qunfei & family,65,14806.31,Technology,Hong Kong,True,F
Ann Walton Kroenke,77,14560.73,Fashion & Retail,United States,False,F
David Velez & family,44,14524.68,Finance & Investments,Colombia,True,M
Ralph Lauren & Family,86,14500.03,Fashion & Retail,United States,True,M
Alisher Usmanov,72,14268.77,Metals & Mining,Russia,True,M
Li Shuirong & family,69,14246.55,Manufacturing,China,True,M
Joseph Lau,74,14246.24,Real Estate,Hong Kong,True,M
Adam Foroughi,45,14210.91,Technology,United States,True,M
Antonia Ax:son Johnson & family,82,14203.65,Diversified,Sweden,False,F
Wang Liping & family,60,13951.34,Manufacturing,China,True,M
Hamdi Ulukaya,53,13933.39,Food & Beverage,Turkey,True,M
Jason Chang,82,13927.52,Manufacturing,Singapore,True,M
Ivan Glasenberg,69,13918.81,Metals & Mining,Switzerland,True,M
Robert Kuok,102,13911.46,Diversified,Malaysia,True,M
Sunil Mittal,68,13895.16,Telecom,India,True,M
Robert Kraft,84,13841.58,Sports,United States,True,M
Andre Esteves,57,13814.41,Finance & Investments,Brazil,True,M
Dmitri Bukhman,40,13560.54,Media & Entertainment,Israel,True,M
Igor Bukhman,44,13560.54,Media & Entertainment,Israel,True,M
Laurene Powell Jobs,62,13536.72,Technology,United States,False,F
Jack Dangermond,80,13507.18,Technology,United States,True,M
Peter Woo,79,13405.67,Real Estate,Hong Kong,False,M
Zhu Yi,62,13303.6,Healthcare,China,True,M
Robert Duggan,82,13274.05,Healthcare,United States,True,M
David Reuben,87,13245.27,Real Estate,United Kingdom,True,M
Simon Reuben,85,13245.27,Diversified,United Kingdom,True,M
Dan Cathy,73,13236.97,Food & Beverage,United States,False,M
Trudy Cathy White,70,13236.97,Food & Beverage,United States,False,F
Bubba Cathy,72,13226.98,Food & Beverage,United States,False,M
Edward Johnson IV,61,13194.03,Finance & Investments,United States,False,M
Ken Fisher,75,13154.0,Finance & Investments,United States,True,M
J. Christopher Reyes,72,13100.0,Food & Beverage,United States,True,M
Jude Reyes,70,13100.0,Food & Beverage,United States,True,M
Uday Kotak,67,13058.72,Finance & Investments,India,True,M
Abdulsamad Rabiu,65,12996.22,Diversified,Nigeria,False,M
Wang Laisheng,61,12993.61,Technology,Hong Kong,True,M
Charles Schwab,88,12988.18,Finance & Investments,United States,True,M
Terry Gou,75,12980.62,Technology,Taiwan,True,M
Richard Kinder,81,12834.28,Energy,United States,True,M
Orlando Bravo,55,12834.13,Finance & Investments,United States,True,M
Michael Sabel,59,12766.4,Energy,United States,True,M
Robert Pender,72,12766.4,Energy,United States,True,M
George Roberts,82,12757.31,Finance & Investments,United States,True,M
Joseph Tsai,62,12755.25,Technology,Canada,True,M
Wang Laichun,58,12737.53,Technology,Hong Kong,True,F
Sandra Ortega Mera,57,12600.11,Fashion & Retail,Spain,False,F
